hash,author_name,committer_name,author_date,commit_date,num_lines_added,num_lines_deleted,num_lines_of_code,num_file_impacted,num_dirs_impacted,min_complexity,mean_complexity,max_complexity,entropy,bug_fixing,description_length,num_prior_commits,avg_prior_age,num_prior_commits_bug_fixing,num_future_commits_bug_fixing,fix_inducing,reviewer_id,reviewer_name,reviewer_vote,reviewer_is_core,num_prior_votes,pct_prior_pos_votes,pct_prior_neg_votes,pct_prior_pos_votes_core,pct_prior_neg_votes_core,change_id,pct_prior_commits_author_authored,pct_prior_commits_author_reviewed,pct_prior_commits_reviewer_authored,pct_prior_commits_reviewer_reviewed
9968b0993fe1859b7accb6701f2fffcbed757bc0,Alexander Bashmakov,Alexander Bashmakov,2016-09-09 13:44:36-07:00,2016-11-08 16:46:49+00:00,6,2,400,2,2,40,40.0,40,0.8112781244591328,True,98,0,0.0,0,0,False,22834,liwei,1,False,0,0.0,0.0,0.0,0.0,Ie8cc4bb3769a6347fd25e2235a72c6358af70d42,,,,
9968b0993fe1859b7accb6701f2fffcbed757bc0,Alexander Bashmakov,Alexander Bashmakov,2016-09-09 13:44:36-07:00,2016-11-08 16:46:49+00:00,6,2,400,2,2,40,40.0,40,0.8112781244591328,True,98,0,0.0,0,0,False,15054,wangxiyuan,1,False,1,1.0,0.0,0.0,0.0,Ie8cc4bb3769a6347fd25e2235a72c6358af70d42,,,,
9968b0993fe1859b7accb6701f2fffcbed757bc0,Alexander Bashmakov,Alexander Bashmakov,2016-09-09 13:44:36-07:00,2016-11-08 16:46:49+00:00,6,2,400,2,2,40,40.0,40,0.8112781244591328,True,98,0,0.0,0,0,False,12807,Steve Lewis (stevelle),1,False,2,1.0,0.0,0.0,0.0,Ie8cc4bb3769a6347fd25e2235a72c6358af70d42,,,,
9968b0993fe1859b7accb6701f2fffcbed757bc0,Alexander Bashmakov,Alexander Bashmakov,2016-09-09 13:44:36-07:00,2016-11-08 16:46:49+00:00,6,2,400,2,2,40,40.0,40,0.8112781244591328,True,98,0,0.0,0,0,False,5314,Brian Rosmaita,2,True,4,1.0,0.0,0.0,0.0,Ie8cc4bb3769a6347fd25e2235a72c6358af70d42,,,,
9968b0993fe1859b7accb6701f2fffcbed757bc0,Alexander Bashmakov,Alexander Bashmakov,2016-09-09 13:44:36-07:00,2016-11-08 16:46:49+00:00,6,2,400,2,2,40,40.0,40,0.8112781244591328,True,98,0,0.0,0,0,False,12000,Ian Cordasco,2,False,4,1.0,0.0,0.25,0.0,Ie8cc4bb3769a6347fd25e2235a72c6358af70d42,,,,
996baf8f6199d649149c0d068e50ca3e84aecba0,Zhi Yan Liu,Zhi Yan Liu,2013-07-05 12:19:18+08:00,2013-07-13 10:28:34+08:00,41,3,1086,2,2,69,96.0,123,0.9865446300055644,False,43,2,70.5,0,3,True,616,Mark Washenberger,2,False,2,0.5,0.5,0.0,0.0,I512e2b517ac0222339d61c490d620fc414dd8e7a,0.0,0.5,0.0,0.5
996baf8f6199d649149c0d068e50ca3e84aecba0,Zhi Yan Liu,Zhi Yan Liu,2013-07-05 12:19:18+08:00,2013-07-13 10:28:34+08:00,41,3,1086,2,2,69,96.0,123,0.9865446300055644,False,43,2,70.5,0,3,True,6159,Flavio Percoco Premoli,-1,False,1,1.0,0.0,0.0,0.0,I512e2b517ac0222339d61c490d620fc414dd8e7a,0.0,0.5,0.0,0.5
996baf8f6199d649149c0d068e50ca3e84aecba0,Zhi Yan Liu,Zhi Yan Liu,2013-07-05 12:19:18+08:00,2013-07-13 10:28:34+08:00,41,3,1086,2,2,69,96.0,123,0.9865446300055644,False,43,2,70.5,0,3,True,6493,John Bresnahan,2,False,2,0.5,0.5,0.0,0.0,I512e2b517ac0222339d61c490d620fc414dd8e7a,0.0,0.5,0.5,0.0
99826d08d4c48cb83f4c5eb7fc79bba9ffd86f41,Sabari Kumar Murugesan,Sabari Kumar Murugesan,2015-05-19 12:54:49-07:00,2015-05-19 12:57:34-07:00,1,1,266,1,1,13,13.0,13,0.0,True,46,1,244.0,1,0,False,12000,Ian Cordasco,2,False,1,1.0,0.0,0.0,0.0,I0f36faa60a4688c8aba5e31f69e3f1818adb681a,,,,
99826d08d4c48cb83f4c5eb7fc79bba9ffd86f41,Sabari Kumar Murugesan,Sabari Kumar Murugesan,2015-05-19 12:54:49-07:00,2015-05-19 12:57:34-07:00,1,1,266,1,1,13,13.0,13,0.0,True,46,1,244.0,1,0,False,4190,lifeless,1,False,1,0.0,1.0,0.0,0.0,I0f36faa60a4688c8aba5e31f69e3f1818adb681a,,,,
