hash,author_name,committer_name,author_date,commit_date,num_lines_added,num_lines_deleted,num_lines_of_code,num_file_impacted,num_dirs_impacted,min_complexity,mean_complexity,max_complexity,entropy,bug_fixing,description_length,prior_commits,num_prior_commits,avg_prior_age,num_prior_commits_bug_fixing,num_future_commits_bug_fixing,fix_inducing
0e9c16dccf27cc4f85e6772e1d2abfd820af7756,Stuart McLaren,Stuart McLaren,2011-12-01,2011-12-02,18,2,808,1,1,0,0.0,0,0.0,True,20,[],0,0.0,0,1,True
d3e57489d82ad60d2860f10b59579958b1ae7443,Stuart McLaren,Stuart McLaren,2011-12-05,2011-12-05,4,0,471,1,1,0,0.0,0,0.0,True,14,[],0,0.0,0,0,False
37fc2b00c0a8dd67221d83697609913aa78d89c7,James E. Blair,James E. Blair,2011-12-05,2011-12-05,9,6,242,7,2,17,17.0,17,0.9462874612889592,False,45,[],0,0.0,0,4,True
98b1ef337ee63f239829b44aec4d05cea99f98ad,Paul Bourke,Paul Bourke,2011-12-05,2011-12-06,98,29,673,2,2,50,51.5,53,0.9924284506025758,True,167,['1f28b6ca7efb9bed12052c10af71e57773693970'],1,15.0,1,8,True
ba44d1c384c58ae8059a44c0ef0afaacba40225f,Mark McLoughlin,Mark McLoughlin,2011-11-28,2011-12-07,118,159,2827,24,12,1,16.5,64,0.9175919415246873,False,108,"['1f979ca757162b55bc120eb87990f70819a4266f', '1ab63ff5c97cfcbcebd993b57e209c0dd17c2ee8', '2a5a0e9a355e64545da3165c1f2aea049e0eb9fa', 'd105e954a82030cac21a1e5461ae8f507af54758', '88780460895ccf77747c2db4450919e9daa17020', '0135c4265380988a5a02b1cefa837b919fd1a8f4']",6,21.666666666666668,5,2,True
002d711fb7f16a6d5c7977e82e30837287b553b8,Mark McLoughlin,Mark McLoughlin,2011-11-28,2011-12-07,314,318,8328,43,12,1,30.837209302325583,145,0.9239255253740853,False,45,"['49d67bd5051a7399d6108119ade54db92cae23f0', 'f394327f3869b8b820f1fdd345c7e6073dd82820', '1ab63ff5c97cfcbcebd993b57e209c0dd17c2ee8', '2a5a0e9a355e64545da3165c1f2aea049e0eb9fa', '5e6fb33b22c868e8ce2638198c27f3e3a099318a', '0a394707bee38182d980b2ea1906c2aaa6f1c389', '1d2e29063f359a8187fbcc39d4d00ce203c6193c', 'e56cb998c578ff1b6b0ba47d3f693c871db6c7fa', '98b1ef337ee63f239829b44aec4d05cea99f98ad', '0135c4265380988a5a02b1cefa837b919fd1a8f4']",10,20.6,8,8,True
b23b8ef2854610ef291396761874396231d5bc49,Brian Waldon,Brian Waldon,2011-12-08,2011-12-08,1,1,334,1,1,0,0.0,0,0.0,True,14,['88780460895ccf77747c2db4450919e9daa17020'],1,23.0,1,0,False
d03e347e7b69a1d34ce0f9418509e5dcebe18b4c,Brian Waldon,Brian Waldon,2011-12-08,2011-12-08,5,2,27,1,1,0,0.0,0,0.0,False,31,['b183f43792e38f8210b15cac83a8a745938d22ae'],1,7.0,1,1,True
e5925473cd2d29024cbabd76250cc369a7090087,Mark McLoughlin,Mark McLoughlin,2011-11-28,2011-12-08,1910,0,1208,2,2,93,104.5,116,0.9767472318295709,False,77,[],0,0.0,0,8,True
57c4e9b6c686f1303c815698cc68b95bf9b033e7,Mark McLoughlin,Mark McLoughlin,2011-11-28,2011-12-08,717,908,9992,58,14,1,29.93877551020408,145,0.8227296943930473,False,384,"['1f979ca757162b55bc120eb87990f70819a4266f', '49d67bd5051a7399d6108119ade54db92cae23f0', 'ec99ac38ae80bded04b18b5807fe2d9cdac1a432', 'e56cb998c578ff1b6b0ba47d3f693c871db6c7fa', 'ba44d1c384c58ae8059a44c0ef0afaacba40225f', '2a5a0e9a355e64545da3165c1f2aea049e0eb9fa', '002d711fb7f16a6d5c7977e82e30837287b553b8', 'd105e954a82030cac21a1e5461ae8f507af54758', '0a394707bee38182d980b2ea1906c2aaa6f1c389', '1d2e29063f359a8187fbcc39d4d00ce203c6193c', '88780460895ccf77747c2db4450919e9daa17020', '0135c4265380988a5a02b1cefa837b919fd1a8f4', 'cef073049a70b9d6b5bf90678890924e1c3abb7a']",13,22.53846153846154,8,39,True
4ffe0e6dd01fc7fd92395994778eb27820a35d93,Stuart McLaren,Stuart McLaren,2011-12-08,2011-12-12,2,0,193,1,1,18,18.0,18,0.0,True,17,[],0,0.0,0,1,True
5fc3d42dd7d09ba7a0780f59ab270236ce7e8e49,Thierry Carrez,Thierry Carrez,2011-12-12,2011-12-12,6,0,102,2,1,5,5.0,5,0.9182958340544896,True,18,[],0,0.0,0,3,True
c06242382e4de3afb67f198f86cdab76c49b00fa,Brian Waldon,Brian Waldon,2011-12-13,2011-12-13,3,1,320,1,1,53,53.0,53,0.0,True,27,[],0,0.0,0,1,True
105f1fc0545e1e05f762f6d302ff4f687a889f2d,Brian Waldon,Brian Waldon,2011-12-13,2011-12-13,57,5,1204,2,1,27,28.5,30,0.674398887071447,True,13,[],0,0.0,0,2,True
3bfe910a33a2927351b0c5125d1c519aee41d6ef,Dan Prince,Dan Prince,2011-12-13,2011-12-13,1,1,83,1,1,21,21.0,21,0.0,True,20,[],0,0.0,0,0,False
5620ddff24ecf783f37922aa435d71d301b27269,Jay Pipes,Jay Pipes,2011-12-08,2011-12-15,155,1,2234,2,2,77,112.5,148,0.4566836315394428,True,128,[],0,0.0,0,3,True
16a591a00d814882e1433ffc2413fc63d9591d78,Brian Waldon,Brian Waldon,2011-12-15,2011-12-15,0,32,779,1,1,0,0.0,0,0.0,True,12,[],0,0.0,0,0,False
1239f61c2b4ddad3087a2e4e59824fd000c5760e,Brian Lamar,Brian Lamar,2011-12-17,2011-12-17,2,3,12,1,1,1,1.0,1,0.0,True,25,['57c4e9b6c686f1303c815698cc68b95bf9b033e7'],1,8.0,0,0,False
c827316cd3be96c5bf70b4fbba78e46f038b8a7d,Stuart McLaren,Stuart McLaren,2011-12-08,2011-12-19,304,10,442,3,2,6,25.666666666666668,40,0.44356201005007023,True,39,[],0,0.0,0,13,True
391dd0e21122b3711b1fdd0391f8c82c99cbdccc,Johannes Erdfelt,Johannes Erdfelt,2011-08-26,2011-12-20,301,40,5252,12,8,2,54.333333333333336,150,0.7852359952129153,False,52,"['105f1fc0545e1e05f762f6d302ff4f687a889f2d', '1ab63ff5c97cfcbcebd993b57e209c0dd17c2ee8']",2,13.0,2,13,True
1e611fa1ae4f4185c50c114a5b41f5581b9358b6,Alex Meade,Alex Meade,2011-12-21,2011-12-21,163,4,2295,3,2,14,76.66666666666667,148,0.2392870596655601,True,14,[],0,0.0,0,6,True
