hash,author_name,committer_name,author_date,commit_date,num_lines_added,num_lines_deleted,num_lines_of_code,num_file_impacted,num_dirs_impacted,min_complexity,mean_complexity,max_complexity,entropy,bug_fixing,description_length,prior_commits,num_prior_commits,avg_prior_age,num_prior_commits_bug_fixing,num_future_commits_bug_fixing,fix_inducing
5379119fdcd48e973611b448665ec289d1aa3cfc,Sergey Lukjanov,Sergey Lukjanov,2013-10-16,2013-10-16,6,6,330,2,2,48,48.0,48,0.9182958340544896,False,9,"['4d473591176231628338a360134902f9e7770504', '233f21d82eba29449322ab6c07865f6bed708d82', 'a3306d9177b0977148ce955a07f9f6e22b7f731d', 'b9f8ab615eeeea62d7ec6527c80c647bf8e2bf59']",4,9.75,0,1,True
71bcb456493a7faad42476d262715eba4e50fe44,Trevor McKay,Trevor McKay,2013-10-16,2013-10-16,0,4,135,1,1,0,0.0,0,0.0,False,42,['c63fa3e1c47c318145ce10f2b59e173a5ffe1856'],1,5.0,0,0,False
963fb5aae1f33d5d622cc4c46171ed403e1cc8cb,Sergey Lukjanov,Sergey Lukjanov,2013-10-16,2013-10-16,1,1,18,1,1,0,0.0,0,0.0,False,10,['9ac1b70caca8c5b41fa4ab1851738f47f0aca1a8'],1,24.0,0,0,False
10f04e8d0d71074c816fafe34bb77b0bb42b1a5c,Dmitry Mescheryakov,Dmitry Mescheryakov,2013-10-17,2013-10-17,369,119,732,8,4,3,32.333333333333336,76,0.7881792945885803,False,112,"['a08eaa2beaba2d38e1987a70597326d8af233398', '3b8af1e967e92400e0d35052919e09f1bd426700', '134e241e9792ea61434fcf566eca61b7b0c517c4', '27656cbccab4be54e77b1e3ae8b19b9526edec06', '07dcab6dc290993a42dc921ff3645ed92d17bac8', '1dffdda08b7f88b1577b753ec32e349a521db9b3']",6,97.83333333333333,3,2,True
8ffe988e9daf3176dd772265fed737ab84f8de05,Ilya Tyaptin,Ilya Tyaptin,2013-10-17,2013-10-17,1,1,41,1,1,5,5.0,5,0.0,True,12,['f993d6d333c5b072be2f19b58aeaa52f0af902d2'],1,13.0,0,0,False
12cb9b0fa5876705634c86d497583c0134314e37,Trevor McKay,Trevor McKay,2013-10-10,2013-10-17,96,1,68,1,1,0,0.0,0,0.0,False,13,['21632317d6545f15293195608eb0d60f4e8aa0ac'],1,8.0,0,4,True
f687606f0cd806925840ea6b4d06498ff49acd1e,Trevor McKay,Trevor McKay,2013-10-17,2013-10-17,37,0,128,1,1,0,0.0,0,0.0,False,17,[],0,0.0,0,2,True
ef30b1783ab5e2afb4ff4e42853cab9aeac30fc0,Alexander Ignatov,Alexander Ignatov,2013-10-10,2013-10-17,1520,2,1248,1,1,0,0.0,0,0.0,False,29,['21632317d6545f15293195608eb0d60f4e8aa0ac'],1,9.0,0,3,True
6fe415464400563744acd0edb66671895d7b73b8,Sergey Lukjanov,Sergey Lukjanov,2013-10-17,2013-10-17,1,2,16,1,1,0,0.0,0,0.0,False,9,['5379119fdcd48e973611b448665ec289d1aa3cfc'],1,1.0,0,0,False
6243b29f8c3ff4c7e46e42d1e7220724c8f111bf,Yaroslav Lobankov,Yaroslav Lobankov,2013-10-21,2013-10-21,4,98,467,3,3,12,14.0,15,0.7551404584390432,False,44,"['8c5e6b818caa5bc539351543e2bdcc6d81e8cdba', 'd82f1792dc60461d6bb4950c02b51ed8ffee9312', '233f21d82eba29449322ab6c07865f6bed708d82', 'a3306d9177b0977148ce955a07f9f6e22b7f731d', 'b9f8ab615eeeea62d7ec6527c80c647bf8e2bf59']",5,16.2,0,0,False
8fffa673d4238cf1a626cf7d23832f99779c6158,Alexander Ignatov,Alexander Ignatov,2013-10-22,2013-10-22,30,27,576,8,4,0,0.0,0,0.8890237749735189,True,20,"['89b371cb9395b70c2407eeedd99f9bf74242fff8', 'a9591ea66f8fb1428473aa934ff4b1a081e14e7a', '4c8beefd1e2a02f1f5854cdfafc36f35ccd6b600', '21632317d6545f15293195608eb0d60f4e8aa0ac', '29e01d23fca52497de57bfdc52f99811c770daeb', '6c54426b4d9e8368087c38f3195f9c9ba343a050', 'c63fa3e1c47c318145ce10f2b59e173a5ffe1856']",7,30.142857142857142,2,2,True
f9cdc5dd88f3a359167bc03750ad98acca965f99,Sergey Lukjanov,Sergey Lukjanov,2013-10-21,2013-10-21,1,0,34,1,1,0,0.0,0,0.0,False,8,[],0,0.0,0,0,False
4ada3c2beb6c028fb16f5aa2ec4e69f2df489f6a,Matthew Farrellee,Matthew Farrellee,2013-10-21,2013-10-21,0,1,33,1,1,0,0.0,0,0.0,False,27,[],0,0.0,0,0,False
f2dfbf2d9b296e4de7977b5e8628f6c8790e5b24,Yaroslav Lobankov,Yaroslav Lobankov,2013-10-21,2013-10-22,54,5,60,1,1,0,0.0,0,0.0,False,9,['d82f1792dc60461d6bb4950c02b51ed8ffee9312'],1,20.0,0,2,True
5ea36bb47f6f963908d481996d06194bd6503256,Vadim Rovachev,Vadim Rovachev,2013-10-22,2013-10-22,26,6,514,2,2,6,28.5,51,0.6962122601251458,False,15,"['233f21d82eba29449322ab6c07865f6bed708d82', 'a3306d9177b0977148ce955a07f9f6e22b7f731d']",2,23.0,0,3,True
e1b09440935da70b41077b9d4e14fc8f71465d6b,Matthew Farrellee,Matthew Farrellee,2013-10-22,2013-10-22,1,0,24,1,1,0,0.0,0,0.0,False,8,[],0,0.0,0,0,False
d90155e8c281c5a518d22b5d9dad62b2413e6f4b,Dmitry Mescheryakov,Dmitry Mescheryakov,2013-10-23,2013-10-23,19,26,317,1,1,92,92.0,92,0.0,False,21,"['bb1221cd3eea6981a59d3ab73b134acda71de750', '66b333054b3c10d4bedbee90bf4d0dda59b38689', '17398aeab5f123a47d98fda8fa919ef1ba4527b7', '4083b017426a1954cff6005613f4df097a56dbe7', '01c3e9943a2de691455783f6af663216fb6915f9']",5,87.8,3,4,True
