reviewer_id,reviewer_name,reviewer_vote,reviewer_is_core,num_prior_votes,pct_prior_pos_votes,pct_prior_neg_votes,pct_prior_pos_votes_core,pct_prior_neg_votes_core,hash,change_id
1132,Brian Waldon,1,False,0,0.0,0.0,0.0,0.0,98cefb7fc8430ad92b002d2300fd2085c71c9750,Ibe8d7974eb2dfca79953b473b904df55daafa748
706,Brian Lamar,2,False,1,1.0,0.0,0.0,0.0,98cefb7fc8430ad92b002d2300fd2085c71c9750,Ibe8d7974eb2dfca79953b473b904df55daafa748
679,Kevin L. Mitchell,1,False,0,0.0,0.0,0.0,0.0,854d66ec65caeda872163e17ececc3dc8fa0f710,I7dedc31cd19c242af25b8a947dbe936a1ed2eb13
360,Dan Prince,2,False,1,1.0,0.0,0.0,0.0,854d66ec65caeda872163e17ececc3dc8fa0f710,I7dedc31cd19c242af25b8a947dbe936a1ed2eb13
679,Kevin L. Mitchell,1,False,0,0.0,0.0,0.0,0.0,0135c4265380988a5a02b1cefa837b919fd1a8f4,I53923bcf1fe13d63f7242cf328eb53e37d28285e
7,Jay Pipes,2,False,1,1.0,0.0,0.0,0.0,0135c4265380988a5a02b1cefa837b919fd1a8f4,I53923bcf1fe13d63f7242cf328eb53e37d28285e
1132,Brian Waldon,2,False,2,1.0,0.0,0.0,0.0,0135c4265380988a5a02b1cefa837b919fd1a8f4,I53923bcf1fe13d63f7242cf328eb53e37d28285e
7,Jay Pipes,2,False,0,0.0,0.0,0.0,0.0,4213a1e9dabda4e9174678ce46a0d80da38ded3e,I78a0603bc4979ae3831394ea57f12fd328e03573
642,Matt Dietz,1,False,0,0.0,0.0,0.0,0.0,0a394707bee38182d980b2ea1906c2aaa6f1c389,If1fa7c4a6ba09b86ddba0ceff9a922aa6a9d27af
679,Kevin L. Mitchell,1,False,1,1.0,0.0,0.0,0.0,0a394707bee38182d980b2ea1906c2aaa6f1c389,If1fa7c4a6ba09b86ddba0ceff9a922aa6a9d27af
360,Dan Prince,2,False,2,1.0,0.0,0.0,0.0,0a394707bee38182d980b2ea1906c2aaa6f1c389,If1fa7c4a6ba09b86ddba0ceff9a922aa6a9d27af
679,Kevin L. Mitchell,1,False,0,0.0,0.0,0.0,0.0,94dcf3acd0b3ef7adcb61b90bf4bdcc733cf61ac,I22894a31ee54edd6d00ac3458ea4a2f8842aa4a0
7,Jay Pipes,2,False,1,1.0,0.0,0.0,0.0,94dcf3acd0b3ef7adcb61b90bf4bdcc733cf61ac,I22894a31ee54edd6d00ac3458ea4a2f8842aa4a0
679,Kevin L. Mitchell,1,False,0,0.0,0.0,0.0,0.0,7cb8d131bff574e9a62e2ed08e227cc2f0639ed3,I66307cb355120b992913c8a1d8d5855b30f70504
100,Johannes Erdfelt,1,False,1,1.0,0.0,0.0,0.0,7cb8d131bff574e9a62e2ed08e227cc2f0639ed3,I66307cb355120b992913c8a1d8d5855b30f70504
706,Brian Lamar,2,False,2,1.0,0.0,0.0,0.0,7cb8d131bff574e9a62e2ed08e227cc2f0639ed3,I66307cb355120b992913c8a1d8d5855b30f70504
7,Jay Pipes,2,False,0,0.0,0.0,0.0,0.0,a18e60c4aa1801147ce80581f19aefc2b4b606cf,Ieecb4cc5653be6c4e4004bf8c8d95c8d287fb7ae
7,Jay Pipes,2,False,0,0.0,0.0,0.0,0.0,f394327f3869b8b820f1fdd345c7e6073dd82820,Ia3adc6a30f16f889cd344f8cb3fca4a071871fe4
679,Kevin L. Mitchell,1,False,0,0.0,0.0,0.0,0.0,d105e954a82030cac21a1e5461ae8f507af54758,I09b3d008fc00564031b0534155430ed0856e9e9c
360,Dan Prince,2,False,1,1.0,0.0,0.0,0.0,d105e954a82030cac21a1e5461ae8f507af54758,I09b3d008fc00564031b0534155430ed0856e9e9c
7,Jay Pipes,1,False,0,0.0,0.0,0.0,0.0,e56cb998c578ff1b6b0ba47d3f693c871db6c7fa,Ic8ce8956f28e07a4c67026bff8da7fa7512b7839
209,Josh Kearney,2,False,1,1.0,0.0,0.0,0.0,e56cb998c578ff1b6b0ba47d3f693c871db6c7fa,Ic8ce8956f28e07a4c67026bff8da7fa7512b7839
